,dwell,car,2,child,age,5,6,religion,8,9,10,11,12,13
210,0,1,2,0,43,0,0,0,0,2,29,1,53,1
211,1,0,2,1,18,0,0,1,0,0,43,1,28,0
212,0,0,3,2,18,0,0,1,0,0,43,1,12,0
213,0,2,3,2,29,0,0,1,0,1,49,1,33,1
214,1,0,4,1,22,1,0,1,0,2,19,1,20,0
215,0,0,3,0,35,0,0,1,0,0,29,1,45,0
216,0,0,2,1,24,1,0,1,0,1,39,1,9,0
217,0,1,2,0,23,1,0,0,0,3,39,1,32,0
218,0,0,0,0,27,0,1,0,0,1,69,1,20,0
219,0,1,2,1,17,0,0,1,0,2,69,1,27,0
220,0,0,2,1,33,1,0,0,0,3,39,1,34,1
221,0,1,3,2,35,0,0,1,0,0,49,1,45,0
222,1,0,2,1,23,0,0,1,0,0,44,1,26,0
223,0,1,1,0,28,0,0,0,0,0,49,1,38,0
224,1,0,1,0,17,0,0,0,0,1,41,1,9,1
225,0,1,8,0,14,1,0,0,0,2,39,1,23,0
226,1,0,8,4,19,0,0,1,0,0,45,1,23,1
227,0,0,3,0,24,0,0,0,0,3,59,1,34,1
228,0,1,7,4,37,0,0,1,0,2,49,0,22,1
229,0,0,3,2,27,1,0,1,0,0,47,1,37,0
230,1,1,3,2,35,0,0,1,0,1,69,1,24,1
231,0,0,1,0,27,1,0,1,0,2,24,1,37,0
232,0,0,5,2,16,1,0,1,0,0,44,1,26,0
233,0,0,3,2,37,0,0,1,0,2,49,1,22,0
234,0,0,3,2,15,0,0,1,0,0,69,1,14,0
235,0,0,9,7,38,0,0,1,0,0,71,1,48,0
236,0,2,6,1,53,0,0,1,0,1,59,1,43,1
237,0,1,3,1,48,0,0,1,0,1,55,1,7,1
238,0,0,3,2,21,0,0,1,0,0,39,1,13,1
239,0,0,3,1,47,1,0,0,0,1,39,1,50,1
240,0,0,4,0,24,0,0,0,0,0,49,1,25,0
241,0,0,2,1,34,1,0,1,0,2,35,1,8,0
242,0,0,4,1,52,1,1,0,0,1,5,0,62,0
243,1,1,2,0,20,0,0,1,0,2,43,1,30,1
244,0,0,3,2,18,1,0,1,0,0,50,1,28,0
245,1,0,1,1,34,1,0,0,0,0,29,1,44,0
246,0,1,0,0,42,0,1,0,0,3,39,1,30,1
247,0,0,4,3,37,0,0,1,0,0,55,1,40,1
248,0,1,2,1,38,1,0,1,0,2,59,1,18,0
249,0,0,3,2,24,0,0,1,0,0,83,1,12,0
250,0,0,9,2,19,0,0,1,0,1,81,1,29,0
251,0,1,4,0,22,0,0,0,0,1,39,1,32,0
252,0,1,1,0,32,1,0,0,0,3,49,1,42,1
253,0,0,3,2,27,0,0,1,0,1,59,1,30,1
254,0,0,3,2,36,0,0,1,0,0,49,1,39,0
255,1,0,1,1,46,1,1,0,0,0,39,1,56,0
256,0,0,4,0,18,1,0,1,0,2,19,1,8,1
257,0,0,5,0,9,1,0,0,0,1,44,1,10,0
258,0,0,3,0,8,0,0,0,0,1,47,1,18,0
259,0,3,2,1,41,0,0,1,0,2,49,1,51,1
260,0,0,4,0,13,1,0,0,0,0,47,1,23,0
261,1,1,3,2,15,0,0,1,0,0,43,1,5,0
262,1,1,7,0,2,0,0,0,0,0,43,1,12,0
263,0,0,5,0,14,0,0,0,0,2,39,1,24,0
264,0,1,4,0,22,0,0,1,0,2,24,1,32,1
265,1,0,11,1,12,1,0,0,0,0,47,1,22,0
266,0,0,4,3,30,0,0,1,0,1,49,1,40,1
267,1,0,0,0,20,1,0,0,0,0,47,1,4,1
268,0,1,1,0,13,1,0,1,0,1,35,1,23,1
269,1,0,6,5,32,1,0,1,0,0,24,1,42,0
270,0,0,2,2,40,0,1,0,0,0,44,1,39,0
271,0,1,3,2,14,0,0,1,0,1,53,1,24,1
272,0,0,4,3,53,0,0,1,0,0,27,1,63,0
273,0,0,1,0,57,0,0,1,0,0,29,1,30,0
274,0,0,6,0,5,0,0,0,0,0,47,1,15,0
275,0,0,6,0,21,0,0,0,0,2,44,1,30,0
276,0,2,2,1,40,0,0,1,0,0,47,0,23,1
277,0,0,3,0,11,0,0,0,0,1,59,1,21,0
278,0,0,1,0,23,0,0,1,0,2,43,1,11,0
279,1,0,3,2,19,0,0,1,0,2,47,1,7,1
280,0,1,3,2,22,0,0,1,0,2,39,1,32,0
281,0,0,0,0,30,1,1,0,0,2,55,1,40,0
282,0,1,3,2,19,1,0,1,0,2,39,1,7,0
283,0,3,4,0,26,0,0,0,0,3,44,1,30,1
284,0,0,2,1,27,0,0,1,0,0,39,1,37,0
285,1,0,1,0,16,0,0,1,0,0,43,1,26,0
286,0,0,2,1,25,0,0,1,0,0,47,1,35,0
287,0,0,2,1,15,0,0,1,0,2,71,1,4,1
288,0,2,3,0,11,1,0,0,0,1,47,1,21,0
289,1,1,3,2,33,0,0,1,1,2,39,1,21,1
290,0,1,5,3,35,0,0,1,0,0,44,1,29,1
291,0,0,3,2,27,0,0,1,0,1,47,1,6,0
292,0,1,2,1,55,1,0,1,0,0,39,1,52,0
293,0,0,1,0,37,1,0,0,0,2,36,1,47,1
294,1,0,4,3,26,0,0,1,0,0,39,1,12,0
295,0,1,4,3,46,0,0,1,0,2,39,1,56,1
296,0,0,3,2,22,1,0,1,0,0,47,1,11,0
297,0,0,2,1,36,0,0,1,0,0,47,1,46,0
298,0,0,2,1,18,1,0,1,0,1,19,1,28,0
299,0,1,4,0,15,1,0,0,0,2,19,1,20,0
300,0,1,3,2,36,0,0,1,0,0,47,1,25,0
301,1,0,3,2,27,1,0,1,0,1,17,1,21,0
302,0,0,4,3,38,0,0,1,0,0,29,1,48,0
303,0,2,3,2,37,1,0,1,0,3,29,1,31,1
304,1,0,3,2,33,1,0,1,0,1,39,1,30,0
305,0,2,0,0,14,1,0,0,0,1,69,1,24,0
306,1,0,0,0,12,0,0,0,0,1,47,0,16,0
307,0,1,3,2,41,1,0,1,0,2,39,1,39,0
308,1,0,3,2,26,1,0,1,0,0,47,1,36,0
309,1,1,2,1,31,0,0,1,0,2,39,1,28,1
310,0,2,4,3,31,0,0,1,0,0,95,1,8,1
311,1,1,7,0,7,0,0,0,0,0,39,1,10,0
312,0,0,2,1,11,0,0,1,0,1,47,1,10,0
313,0,0,0,0,20,1,1,0,0,0,59,1,30,0
314,0,0,3,0,8,0,0,0,0,1,39,1,14,0
315,0,0,4,3,34,0,0,1,0,0,19,1,44,0
316,0,2,2,1,28,0,0,1,0,2,43,1,13,1
317,0,2,11,3,16,0,0,1,0,1,23,1,26,0
318,1,0,7,6,32,0,0,1,0,0,39,1,42,0
319,0,0,4,0,9,0,0,0,0,1,35,1,19,0
320,0,0,2,1,29,0,0,1,0,0,47,1,5,0
321,0,2,1,0,49,0,0,1,0,2,39,1,59,1
322,0,0,3,2,34,0,0,1,0,1,47,1,44,1
323,0,1,2,1,36,0,0,1,0,0,43,1,20,1
324,0,0,5,4,26,0,0,1,0,0,69,1,35,0
325,1,1,3,2,33,0,0,1,0,2,39,1,43,1
326,0,0,5,4,34,0,0,1,0,1,69,1,44,0
327,1,0,2,1,18,0,0,1,0,0,43,1,28,0
328,0,1,3,2,28,0,0,1,0,1,59,1,38,1
329,1,0,5,3,19,0,0,1,0,0,39,1,28,0
330,0,0,1,0,57,0,0,1,0,0,59,1,67,0
331,0,1,3,1,23,0,0,1,0,2,65,1,33,1
332,0,0,2,1,23,0,0,1,0,0,65,1,6,0
333,0,0,3,0,17,0,0,0,0,1,43,1,25,1
334,0,0,3,2,18,0,0,1,0,1,39,1,21,0
335,0,0,2,1,27,0,0,1,0,0,39,1,37,0
336,0,1,3,3,33,1,1,0,0,1,43,1,30,1
337,1,0,3,2,15,0,0,1,0,0,83,1,25,0
338,1,1,6,1,24,0,0,1,0,1,59,0,34,0
339,1,0,1,0,31,0,0,1,0,1,43,1,41,0
340,1,0,1,0,28,0,1,0,0,2,47,1,12,1
341,0,0,3,2,37,1,0,1,0,0,49,1,12,0
342,0,1,4,3,29,0,0,1,0,1,43,1,4,1
343,0,0,1,0,53,1,1,0,0,0,5,1,49,0
344,0,2,3,2,51,0,0,1,0,0,95,1,61,1
345,1,0,3,0,8,1,0,0,0,1,47,1,18,0
346,0,0,3,0,56,0,0,1,0,0,34,1,50,1
347,1,0,1,0,57,0,0,1,0,2,39,1,52,1
348,0,1,4,3,40,0,0,1,0,0,43,1,31,1
349,0,0,5,4,44,0,0,1,0,1,64,1,53,1
350,0,0,4,2,47,0,0,1,0,1,20,1,57,0
351,1,1,2,0,11,1,0,0,0,2,47,1,21,0
352,0,0,11,0,10,1,0,0,0,0,83,1,18,0
353,1,0,6,5,26,0,0,1,0,0,47,1,15,0
354,1,0,2,1,14,1,0,1,0,1,39,1,9,0
355,1,0,2,1,18,0,0,1,0,0,47,1,28,0
356,0,3,3,0,7,0,0,0,0,1,49,1,17,0
357,0,0,5,4,28,1,0,1,0,1,39,1,38,0
358,1,0,2,1,25,0,0,1,0,2,41,1,35,1
359,0,0,4,3,18,0,0,1,0,0,59,1,27,1
360,0,0,2,2,35,1,1,0,0,0,54,1,45,0
361,0,3,3,2,40,1,0,1,1,1,53,1,45,1
362,0,0,10,0,13,0,0,0,0,0,39,1,23,0
363,0,0,4,3,22,1,0,1,0,3,49,1,8,1
364,1,1,3,2,38,1,0,1,0,0,44,1,48,0
365,0,0,4,0,6,1,0,0,0,1,47,1,16,0
366,0,0,3,0,13,0,0,0,0,0,39,1,19,0
367,0,1,1,0,21,0,0,1,0,3,59,1,18,1
368,0,0,3,1,18,0,0,0,0,0,34,1,28,0
369,0,0,3,2,51,1,0,1,0,1,65,1,51,0
370,0,0,2,1,31,1,0,1,0,1,59,1,2,0
371,0,1,2,0,33,0,1,0,0,3,44,1,43,1
372,0,0,4,3,23,1,0,1,0,1,43,1,20,0
373,0,1,2,0,47,1,0,1,0,0,47,1,14,0
374,0,1,3,0,14,0,1,0,0,1,47,1,24,1
375,1,1,5,4,20,1,0,1,0,0,44,1,1,1
376,0,0,3,2,36,1,0,1,0,0,20,0,30,0
377,1,0,0,0,22,0,0,0,0,0,39,1,32,0
378,0,0,7,6,32,0,0,1,0,0,47,1,42,0
379,0,0,8,7,38,0,0,1,0,0,39,1,35,0
380,0,0,3,0,11,0,0,0,0,1,39,1,21,0
381,1,0,3,2,20,0,0,1,0,0,49,1,8,0
382,0,0,5,4,25,0,0,1,0,0,29,1,20,0
383,1,0,2,1,17,0,0,1,0,0,39,1,1,0
384,0,0,10,9,22,0,0,1,0,0,39,1,32,0
385,1,0,3,2,11,1,0,1,0,0,27,1,21,0
386,1,0,3,0,10,0,0,0,0,1,39,1,4,0
387,0,0,1,0,24,0,0,0,0,0,24,1,34,0
388,0,2,3,0,20,1,0,0,0,2,47,1,30,0
389,0,0,2,1,15,1,0,1,0,2,43,1,23,0
390,1,0,2,1,20,0,0,1,0,2,47,1,5,1
391,0,0,5,4,34,0,0,1,0,3,39,0,20,1
392,0,1,3,0,30,0,0,1,0,1,43,1,40,0
393,0,0,1,0,45,1,0,1,0,0,19,1,27,0
394,0,1,3,1,46,1,1,0,0,1,44,1,46,0
395,0,0,2,0,17,0,0,1,0,1,59,1,27,1
396,1,1,0,0,25,1,0,0,0,3,43,1,35,1
397,1,0,2,1,46,0,0,1,0,0,59,1,45,0
398,1,0,4,3,41,0,0,1,0,0,35,1,51,0
399,0,0,4,3,28,0,0,1,0,0,59,1,20,0
400,1,0,1,0,46,0,0,1,0,0,46,1,56,0
401,1,1,2,1,35,1,0,1,0,1,47,1,14,1
402,0,1,4,3,33,0,0,1,0,2,39,1,43,1
403,0,1,1,0,53,0,0,1,0,0,39,1,31,0
404,0,2,3,2,28,0,0,1,0,3,59,1,2,1
405,1,0,1,0,10,0,0,0,0,2,43,1,3,0
406,1,1,0,0,29,0,1,0,0,0,34,1,17,1
407,0,0,7,7,26,1,1,0,0,0,19,0,36,0
408,0,0,4,0,8,1,0,1,0,1,41,1,1,0
409,1,0,2,1,16,0,0,1,0,1,43,1,1,0
410,1,0,1,0,20,0,0,1,0,2,41,1,30,0
411,0,2,4,3,38,1,0,1,0,0,69,1,48,1
412,0,0,2,2,41,1,1,0,0,0,47,0,43,0
413,1,1,4,3,26,1,0,1,0,0,59,1,5,0
414,0,0,1,0,19,0,1,0,0,0,39,1,27,0
415,0,1,1,0,31,1,0,1,0,3,31,1,15,1
416,0,1,2,1,37,0,0,1,0,0,76,1,46,1
417,0,0,7,2,41,0,0,1,0,0,59,1,51,0
418,1,0,2,0,25,0,0,0,0,0,59,1,35,0
419,1,1,2,1,21,0,0,1,0,2,49,1,31,1
420,0,0,1,0,35,0,0,1,0,0,39,1,45,0
421,1,0,4,3,32,0,0,1,0,0,34,1,42,0
422,0,0,2,1,16,0,0,1,0,1,53,1,18,1
423,0,0,7,0,1,0,0,0,0,0,24,1,11,0
424,0,0,1,0,23,0,0,1,0,0,39,1,32,0
425,0,1,4,3,26,0,0,1,0,0,47,1,30,0
426,1,0,5,4,46,0,0,1,0,1,41,1,45,1
427,0,0,1,0,34,0,0,1,0,0,47,0,10,0
428,0,0,1,0,28,0,0,1,0,1,59,1,10,0
429,1,0,4,0,24,0,0,0,0,0,51,1,30,0
430,0,0,5,3,31,0,0,1,0,2,39,1,32,1
431,0,0,6,5,37,1,0,1,0,0,29,1,47,0
432,0,0,1,0,31,0,0,1,0,2,23,1,41,1
433,0,0,3,2,27,0,0,1,0,0,41,1,13,0
434,0,0,2,1,52,0,0,1,0,0,69,1,48,0
435,0,0,14,5,53,0,0,1,0,0,59,1,63,0
436,0,0,2,2,34,1,1,0,0,0,55,1,43,0
437,1,0,2,1,11,0,0,1,0,0,39,1,21,0
438,0,1,1,0,20,0,0,1,0,2,39,1,12,1
439,0,0,4,0,4,0,0,0,0,0,59,1,12,0
440,0,1,3,2,28,0,0,1,0,2,43,1,38,1
441,0,1,3,2,17,1,0,1,0,2,47,1,7,1
442,0,1,2,1,30,1,0,1,0,2,39,1,40,0
443,1,0,2,1,53,0,0,1,0,0,34,0,22,1
444,1,1,4,0,11,1,0,0,0,0,57,1,21,0
445,0,0,4,3,29,0,0,1,0,0,55,1,39,0
446,0,0,7,1,40,0,0,1,0,0,47,1,50,0
447,0,2,3,2,19,1,0,1,0,3,39,1,29,0
448,1,1,1,0,13,0,0,1,0,2,39,1,1,1
449,0,0,2,1,11,0,0,1,0,1,47,1,21,0
450,0,1,3,2,18,0,0,1,0,1,35,1,28,0
451,0,2,3,2,38,0,0,1,0,1,39,1,40,1
452,0,1,3,2,25,0,0,1,0,1,59,1,29,0
453,0,1,1,0,54,0,0,1,0,0,41,1,12,0
454,0,0,3,2,36,1,0,1,0,0,14,1,46,0
455,1,1,4,3,28,0,0,1,0,0,49,1,8,0
456,0,0,6,5,22,0,0,1,0,0,43,1,32,0
457,1,2,1,0,25,0,0,1,0,3,39,1,6,1
458,0,0,3,2,17,1,0,1,0,0,8,0,27,0
459,0,1,4,3,23,1,0,1,0,1,34,1,20,1
460,0,0,4,2,39,0,0,1,0,0,49,1,28,0
461,0,0,6,0,7,0,0,0,0,1,27,1,11,0
462,0,0,0,0,34,1,0,0,0,1,64,0,18,0
463,0,0,3,3,26,1,0,0,0,1,7,1,36,0
